formula,heusler type,num_electron,struct type,latt const,tetragonality,e_form,pol fermi,gap width,stability,mu_b,mu_b saturation
Ni2TiGe,Full Heusler,28,D022,5.7,1.1018,-0.517,0.01,No gap,TRUE,0,0
Ni2TiSn,Full Heusler,28,L21,6.1136,1.0039,-0.473,0,No gap,TRUE,0,0
Ni2TiP,Full Heusler,29,D022,5.0499,1.5157,-0.617,0,No gap,TRUE,0,0
Ni2TiAs,Full Heusler,29,D022,5.2131,1.479,-0.444,0,No gap,TRUE,0,0
Ni2TiSb,Full Heusler,29,L21,6.13,1,-0.373,0,No gap,TRUE,0,0
Ni2VAl,Full Heusler,28,L21,5.8,1,-0.389,0,No gap,TRUE,0,0
Ni2VGa,Full Heusler,28,L21,5.8,1,-0.287,0,No gap,TRUE,0,0
Ni2VIn,Full Heusler,28,L21,6.0349,1.0016,-0.055,0,No gap,TRUE,0,0
Ni2VSi,Full Heusler,29,D022,5.3178,1.2359,-0.372,22.22,No gap,TRUE,0.2666,53.21
Ni2VGe,Full Heusler,29,D022,5.29,1.327,-0.23,84.42,No gap,TRUE,0.9729,183.72
Ni2VSn,Full Heusler,29,L21,6.05,1,-0.143,64.62,No gap,TRUE,0.8256,138.3
Ni2VP,Full Heusler,30,D022,4.91,1.5519,-0.365,0,No gap,TRUE,0.0001,0.02
Ni2VAs,Full Heusler,30,D022,5.0985,1.4979,-0.161,40.43,No gap,TRUE,1.1153,208.4
Ni2VSb,Full Heusler,30,D022,5.7,1.2088,-0.076,40.57,No gap,TRUE,1.7254,285.92
Ni2CrAl,Full Heusler,29,L21,5.8,1,-0.271,2.89,0.023,TRUE,3.2235,612.87
Ni2CrGa,Full Heusler,29,D022,5.35,1.2729,-0.168,57.32,No gap,TRUE,3.0618,582.71
Ni2CrIn,Full Heusler,29,L21,6.0576,1.0072,0.039,24.99,No gap,FALSE,3.5757,592.51
Ni2CrSi,Full Heusler,30,D022,5.35,1.2093,-0.252,9.55,No gap,TRUE,2.785,557.88
Ni2CrGe,Full Heusler,30,D022,5.45,1.211,-0.111,10.61,No gap,TRUE,2.988,565.42
Ni2CrSn,Full Heusler,30,L21,6.0582,1.0045,-0.079,22.04,No gap,TRUE,3.4658,575.62
Ni2CrP,Full Heusler,31,D022,5.01,1.4511,-0.207,63.89,No gap,TRUE,2.7689,562.89
Ni2CrAs,Full Heusler,31,D022,5.2,1.4135,-0.031,71.83,No gap,TRUE,3.0505,569.38
Ni2CrSb,Full Heusler,31,L21,6.07,1,-0.017,24.51,No gap,TRUE,3.4429,571.06
Ni2MnAl,Full Heusler,30,L21,5.7803,1.0073,-0.411,27.04,No gap,TRUE,4.0646,775.08
Ni2MnGa,Full Heusler,30,L21,5.8,1.0052,-0.298,26.15,No gap,TRUE,4.0599,767.92
Ni2MnIn,Full Heusler,30,L21,6.07,1,-0.108,30.31,No gap,TRUE,4.2086,698.07
Ni2MnSi,Full Heusler,31,L21,5.7,1,-0.374,35.26,No gap,TRUE,3.8367,768.53
Ni2MnGe,Full Heusler,31,L21,5.81,1,-0.238,18.73,No gap,TRUE,3.9532,747.73
Ni2MnSn,Full Heusler,31,L21,6.065,0.9986,-0.21,18.59,No gap,TRUE,4.079,679.19
Ni2MnP,Full Heusler,32,D022,5.05,1.4238,-0.307,3.14,No gap,TRUE,4.0858,826.59
Ni2MnAs,Full Heusler,32,D022,5.26,1.3726,-0.151,12.84,No gap,TRUE,4.1546,771.52
Ni2MnSb,Full Heusler,32,D022,5.9494,1.0604,-0.137,1.62,No gap,TRUE,3.9848,662.01
Ni2FeAl,Full Heusler,31,D022,5.21,1.3301,-0.34,30.55,No gap,TRUE,3.1879,628.67
Ni2FeGa,Full Heusler,31,D022,5.2,1.35,-0.232,26.64,No gap,TRUE,3.2602,637.13
Ni2FeIn,Full Heusler,31,L21,6.02,1,-0.006,57.78,No gap,TRUE,3.352,569.96
Ni2FeSi,Full Heusler,32,D022,5.1,1.351,-0.316,49.48,No gap,TRUE,3.0329,627.81
Ni2FeGe,Full Heusler,32,D022,5.86,0.9539,-0.148,25.32,No gap,TRUE,3.2627,630.52
Ni2FeSn,Full Heusler,32,L21,6.027,0.9943,-0.101,26.91,No gap,TRUE,3.2552,554.76
Ni2FeP,Full Heusler,33,D022,4.94,1.4717,-0.233,42.51,No gap,TRUE,3.3896,708.74
Ni2FeAs,Full Heusler,33,D022,5.12,1.4434,-0.058,57.7,No gap,TRUE,3.5703,683.67
Ni2FeSb,Full Heusler,33,L21,6.02,1,-0.012,53.93,0.028,TRUE,3.3321,566.57
Ni2CoAl,Full Heusler,32,D022,5.11,1.3757,-0.323,62.79,No gap,TRUE,1.9357,391.17
Ni2CoGa,Full Heusler,32,D022,5.12,1.3828,-0.201,55.98,No gap,TRUE,2.0227,404.28
Ni2CoIn,Full Heusler,32,D022,5.39,1.3525,0.042,63.67,No gap,FALSE,2.0404,357.39
Ni2CoSi,Full Heusler,33,D022,5.01,1.3852,-0.32,70.69,No gap,TRUE,1.4696,312.96
Ni2CoGe,Full Heusler,33,D022,5.11,1.3836,-0.148,71.88,No gap,TRUE,1.5935,320.2
Ni2CoSn,Full Heusler,33,D022,5.4,1.3333,-0.071,61.74,No gap,TRUE,1.4903,263.32
Ni2CoP,Full Heusler,34,D022,4.92,1.4533,-0.216,66.06,No gap,TRUE,2.1333,457.24
Ni2CoAs,Full Heusler,34,D022,5.06,1.4506,-0.039,70.2,No gap,TRUE,2.2149,437.2
Ni2CoSb,Full Heusler,34,D022,5.33,1.379,-0.017,49.9,No gap,TRUE,1.482,263.29
Ni2NiAl,Full Heusler,33,D022,5.2039,1.2978,-0.413,0,No gap,TRUE,0.0001,0.02
Ni2NiGa,Full Heusler,33,D022,5.22,1.2989,-0.289,0.08,No gap,TRUE,0.0002,0.04
Ni2NiIn,Full Heusler,33,D022,5.44,1.307,-0.068,0,No gap,TRUE,0.0001,0.02
Ni2NiSi,Full Heusler,34,D022,5.07,1.3333,-0.422,0,No gap,TRUE,0,0
Ni2NiGe,Full Heusler,34,D022,5.17,1.3327,-0.259,0,No gap,TRUE,0,0
Ni2NiSn,Full Heusler,34,D022,5.4,1.3296,-0.207,0,No gap,TRUE,0,0
Ni2NiP,Full Heusler,35,D022,4.97,1.3984,-0.303,0,No gap,TRUE,0,0
Ni2NiAs,Full Heusler,35,D022,5.1,1.4098,-0.143,0,No gap,TRUE,0,0
Ni2NiSb,Full Heusler,35,D022,5.36,1.3563,-0.153,0,No gap,TRUE,0,0
CrTiGa,Half Heusler,13,C1b,6.03,1,0.401,18.18,0.627,FALSE,4.9901,844.28
CrTiIn,Half Heusler,13,C1b,6.32,1,0.545,100,0.722,FALSE,5,734.76
CrTiSi,Half Heusler,14,C1b,5.85,1,0.189,100,0.703,FALSE,4,741.17
CrTiGe,Half Heusler,14,C1b,5.95,1,0.217,100,0.798,FALSE,4,704.43
CrTiSn,Half Heusler,14,C1b,6.25,1.0016,0.274,100,0.827,FALSE,4,606.81
CrTiP,Half Heusler,15,tetragonal,5.24,1.2729,-0.226,15.57,0.257,TRUE,2.5301,512.48
CrTiAs,Half Heusler,15,tetragonal,5.52,1.2065,-0.009,100,0.693,TRUE,3,548.4
CrTiSb,Half Heusler,15,C1b,6.18,0.9984,0.124,100,0.95,FALSE,3,472.27
CrVAl,Half Heusler,14,C1b,5.83,1,0.582,22.14,0.522,FALSE,0.0511,9.57
CrVGa,Half Heusler,14,C1b,5.82,1,0.527,25.64,0.675,FALSE,0.0306,5.76
CrVIn,Half Heusler,14,C1b,6.17,1,0.724,75.86,0.722,FALSE,0.022,3.47
CrVSi,Half Heusler,15,C1b,5.6,1,0.261,12.54,No,FALSE,0.5936,125.39
CrVGe,Half Heusler,15,C1b,5.75,1,0.343,8.96,0.556,FALSE,0.2213,43.18
CrVSn,Half Heusler,15,C1b,6.11,1,0.459,15.96,0.774,FALSE,0.2123,34.53
CrVP,Half Heusler,16,C1b,5.5,1,-0.177,0,No,TRUE,0,0
CrVAs,Half Heusler,16,C1b,5.65,1.0035,0.103,0,No,FALSE,0.0001,0.02
CrVSb,Half Heusler,16,C1b,6.0579,1.0037,0.273,36.81,0.85,FALSE,0.9107,151.41
CrCrAl,Half Heusler,15,C1b,5.82,1,0.583,18.74,0.542,FALSE,0.5127,96.48
CrCrGa,Half Heusler,15,C1b,5.8,1,0.538,11.69,0.698,FALSE,0.4375,83.18
CrCrIn,Half Heusler,15,C1b,6.2,1,0.714,26.48,0.613,FALSE,0.3186,49.59
CrCrSi,Half Heusler,16,C1b,5.5,1,0.277,0,No,FALSE,0,0
CrCrGe,Half Heusler,16,C1b,5.74,1.0017,0.39,25.13,0.746,FALSE,0.366,71.67
CrCrSn,Half Heusler,16,C1b,6.14,1.0016,0.483,39.35,0.789,FALSE,0.2591,41.46
CrCrP,Half Heusler,17,C1b,5.4,1.0019,-0.158,5.8,No,TRUE,0.5387,126.67
CrCrAs,Half Heusler,17,C1b,5.6346,0.9976,0.143,18.41,0.465,FALSE,0.7717,160.41
CrCrSb,Half Heusler,17,C1b,6.09,0.9951,0.31,22.7,0.926,FALSE,0.2184,36.05
CrMnAl,Half Heusler,16,C1b,5.8,1,0.492,33.95,0.27,FALSE,0.4724,89.82
CrMnGa,Half Heusler,16,C1b,5.79,1,0.439,37.59,0.522,FALSE,0.5086,97.2
CrMnIn,Half Heusler,16,C1b,6.21,1,0.619,50.76,0.67,FALSE,0.1864,28.87
CrMnSi,Half Heusler,17,C1b,5.476,0.9947,0.156,2.08,No,FALSE,0.04,9.08
CrMnGe,Half Heusler,17,C1b,5.7,1.0035,0.262,63.35,0.589,FALSE,0.0804,16.05
CrMnSn,Half Heusler,17,C1b,6.13,1.0033,0.36,40.92,0.76,FALSE,0.054,8.67
CrMnP,Half Heusler,18,C1b,5.42,1.0018,-0.264,99.59,0.205,TRUE,0.0016,0.37
CrMnAs,Half Heusler,18,C1b,5.71,1,-0.009,100,0.984,TRUE,0,0
CrMnSb,Half Heusler,18,C1b,6.1,1,0.151,22.99,0.959,FALSE,0.1937,31.66
CrFeAl,Half Heusler,17,C1b,5.65,1,0.489,2.95,No,FALSE,0.6405,131.73
CrFeGa,Half Heusler,17,C1b,5.67,1,0.452,9.19,No,FALSE,0.6888,140.18
CrFeIn,Half Heusler,17,C1b,6.07,1,0.697,89.2,0.308,FALSE,0.9971,165.39
CrFeSi,Half Heusler,18,C1b,5.45,1.0037,0.141,24.26,No,FALSE,0.0504,11.51
CrFeGe,Half Heusler,18,C1b,5.65,1,0.249,100,0.185,FALSE,0,0
CrFeSn,Half Heusler,18,C1b,6.01,1,0.417,100,0.428,FALSE,0,0
CrFeP,Half Heusler,19,C1b,5.42,1,-0.219,23.39,No,TRUE,0.8564,199.53
CrFeAs,Half Heusler,19,C1b,5.6242,1.0011,0.059,1.52,0.328,FALSE,0.7974,166.09
CrFeSb,Half Heusler,19,C1b,5.9685,1.0029,0.28,68.79,0.523,FALSE,0.5241,91.18
CrNiAl,Half Heusler,19,C1b,5.73,1,0.483,68.61,0.066,FALSE,3.0007,591.68
CrNiGa,Half Heusler,19,tetragonal,5.11,1.4227,-0.007,32.83,No,TRUE,3.1048,606.71
CrNiIn,Half Heusler,19,C1b,6.07,1,0.221,20.87,0.076,FALSE,3.6663,608.12
CrNiSi,Half Heusler,20,C1b,5.52,1,-0.188,56.87,No,TRUE,1.7846,393.6
CrNiGe,Half Heusler,20,C1b,5.67,0.9982,-0.125,23.11,No,TRUE,2.3915,487.55
CrNiSn,Half Heusler,20,C1b,6,1,-0.009,10.31,No,TRUE,3.0109,517.09
CrNiP,Half Heusler,21,C1b,5.45,1.0037,-0.553,37.81,No,TRUE,1.9501,445.25
CrNiAs,Half Heusler,21,C1b,5.64,0.9982,-0.328,2,No,TRUE,2.0371,421.96
CrNiSb,Half Heusler,21,C1b,5.95,1.005,-0.149,11.96,No,TRUE,2.4288,425.58
MnTiAl,Half Heusler,14,C1b,5.8,1,0.215,4.5,0.46,FALSE,0.1073,20.4
MnTiGa,Half Heusler,14,C1b,5.82,0.9966,0.178,40.69,0.926,FALSE,0.2477,46.77
MnTiIn,Half Heusler,14,C1b,6.1467,1.0058,0.375,80.9,0.49,FALSE,0.5819,92.41
MnTiSi,Half Heusler,15,C1b,5.64,1,-0.099,0,0.446,TRUE,0.0007,0.14
MnTiGe,Half Heusler,15,C1b,5.77,1.0017,-0.018,12.39,1.012,TRUE,0.3994,76.99
MnTiSn,Half Heusler,15,C1b,6.13,1,0.074,84.11,0.751,FALSE,2.8847,464.56
MnTiP,Half Heusler,16,C1b,5.56,1,-0.527,51.6,0.998,TRUE,1.8155,391.83
MnTiAs,Half Heusler,16,C1b,5.7415,1.0049,-0.298,89.02,1.283,TRUE,1.9946,389.03
MnTiSb,Half Heusler,16,C1b,6.09,0.9984,-0.165,67.2,0.845,TRUE,1.7332,285.13
MnVAl,Half Heusler,15,C1b,5.7,1,0.283,38.46,0.593,FALSE,0.3961,79.34
MnVGa,Half Heusler,15,C1b,5.74,1,0.254,18.16,0.855,FALSE,0.0724,14.2
MnVIn,Half Heusler,15,C1b,6.11,1,0.476,2.72,0.347,FALSE,0.2734,44.46
MnVSi,Half Heusler,16,C1b,5.5,1,-0.064,0,No,TRUE,0,0
MnVGe,Half Heusler,16,C1b,5.68,1.0018,0.055,44.82,0.888,FALSE,0.7845,158.53
MnVSn,Half Heusler,16,C1b,6.04,1,0.186,23.14,0.565,FALSE,1.0984,184.92
MnVP,Half Heusler,17,C1b,5.4033,1.0039,-0.539,20.99,0.465,TRUE,0.8574,200.83
MnVAs,Half Heusler,17,C1b,5.5948,1.0018,-0.243,100,0.869,TRUE,1,211.45
MnVSb,Half Heusler,17,C1b,5.9233,1.0025,-0.034,100,0.936,TRUE,1,178.06
MnCrAl,Half Heusler,16,C1b,5.7,1,0.362,3.04,0.67,FALSE,0.6879,137.79
MnCrGa,Half Heusler,16,C1b,5.74,1,0.348,2.11,0.784,FALSE,0.6003,117.75
MnCrIn,Half Heusler,16,C1b,6.15,1,0.541,3.98,0.247,FALSE,0.3067,48.91
MnCrSi,Half Heusler,17,C1b,5.42,1,-0.027,13.76,No,TRUE,0.7368,171.66
MnCrGe,Half Heusler,17,C1b,5.571,1.0043,0.123,100,0.608,FALSE,1,213.63
MnCrSn,Half Heusler,17,C1b,6.06,0.9967,0.269,7.3,0.399,FALSE,0.3062,51.21
MnCrP,Half Heusler,18,C1b,5.3,0.9981,-0.46,0,No,TRUE,0,0
MnCrAs,Half Heusler,18,C1b,5.5142,1.0037,-0.101,100,0.726,TRUE,0,0
MnCrSb,Half Heusler,18,C1b,5.9519,1.0028,0.097,80.31,0.665,FALSE,0.014,2.46
MnMnAl,Half Heusler,17,C1b,5.6,1,0.28,18.84,0.276,FALSE,0.6878,145.29
MnMnGa,Half Heusler,17,C1b,5.71,0.9982,0.273,43.75,0.703,FALSE,0.4457,88.97
MnMnIn,Half Heusler,17,C1b,6.12,1,0.48,26.16,0.361,FALSE,0.0511,8.27
MnMnSi,Half Heusler,18,C1b,5.3671,1.0081,-0.098,30.23,No,TRUE,0.0067,1.59
MnMnGe,Half Heusler,18,C1b,5.5844,0.9997,0.047,100,0.807,FALSE,0,0
MnMnSn,Half Heusler,18,C1b,6.05,0.9967,0.184,32.15,0.485,FALSE,0.1741,29.26
MnMnP,Half Heusler,19,C1b,5.33,1.0019,-0.419,99.14,0.428,TRUE,1,244.53
MnMnAs,Half Heusler,19,C1b,5.627,1.0017,-0.131,100,1.112,TRUE,1,207.85
MnMnSb,Half Heusler,19,C1b,6.01,0.9983,0.044,100,0.684,FALSE,1,171.17
MnFeAl,Half Heusler,18,C1b,5.52,1,0.292,76.01,No,FALSE,0.0013,0.29
MnFeGa,Half Heusler,18,C1b,5.5636,1.0033,0.299,80.4,No,FALSE,0.0067,1.44
MnFeIn,Half Heusler,18,C1b,5.96,1.0034,0.589,100,0.452,FALSE,0.0001,0.02
MnFeSi,Half Heusler,19,C1b,5.33,1.0019,0.011,0,No,FALSE,0.0007,0.17
MnFeGe,Half Heusler,19,C1b,5.57,1,0.162,84,0.337,FALSE,0.9789,210.14
MnFeSn,Half Heusler,19,C1b,5.92,1,0.353,65.18,0.57,FALSE,0.9666,172.83
MnFeP,Half Heusler,20,C1b,5.32,1,-0.306,80.06,No,TRUE,1.9591,482.67
MnFeAs,Half Heusler,20,C1b,5.51,0.9982,0.005,96.56,0.029,FALSE,1.9986,444
MnFeSb,Half Heusler,20,C1b,5.84,1,0.235,3.07,No,FALSE,3.4443,641.49
MnNiAl,Half Heusler,20,C1b,5.65,1,-0.018,44.26,0.061,TRUE,3.0218,621.51
MnNiGa,Half Heusler,20,C1b,5.66,1,0.209,28.89,0.047,FALSE,3.2206,658.89
MnNiIn,Half Heusler,20,C1b,6,1,0.161,37.12,No,FALSE,3.7194,638.77
MnNiSi,Half Heusler,21,C1b,5.48,0.9982,-0.216,12.77,No,TRUE,2.6009,587.36
MnNiGe,Half Heusler,21,C1b,5.62,0.9947,-0.132,0.4,No,TRUE,2.7411,575.93
MnNiSn,Half Heusler,21,C1b,5.96,0.9983,-0.044,30.36,0.034,TRUE,3.3945,595.79
MnNiP,Half Heusler,22,C1b,5.36,1.0037,-0.464,7.63,No,TRUE,1.7592,422.21
MnNiAs,Half Heusler,22,C1b,5.6,1,-0.011,30.64,No,TRUE,2.8991,612.39
MnNiSb,Half Heusler,22,C1b,5.9,0.9966,-0.136,12.88,No,TRUE,3.1341,568.01
FeTiAl,Half Heusler,15,C1b,5.74,1,-0.021,53.72,0.537,TRUE,0.373,73.16
FeTiGa,Half Heusler,15,C1b,5.72,1,-0.038,3.36,0.789,TRUE,0.0065,1.29
FeTiIn,Half Heusler,15,C1b,6.08,1,0.206,0.62,0.366,FALSE,0.4602,75.96
FeTiSi,Half Heusler,16,C1b,5.6,1,-0.342,22.22,0.855,TRUE,1.0161,214.63
FeTiGe,Half Heusler,16,C1b,5.71,1,-0.253,31.15,1.15,TRUE,1.4445,287.83
FeTiSn,Half Heusler,16,C1b,6.0149,1.0026,-0.135,0.53,0.608,TRUE,1.5985,271.79
FeTiP,Half Heusler,17,C1b,5.4527,1.0044,-0.802,60.74,1.135,TRUE,0.8837,201.32
FeTiAs,Half Heusler,17,C1b,5.6547,1.0008,-0.55,88.95,1.254,TRUE,0.9896,202.87
FeTiSb,Half Heusler,17,C1b,5.9534,1.0004,-0.382,66.7,0.85,TRUE,0.955,167.84
FeVAl,Half Heusler,16,C1b,5.6,1,0.108,15.87,0.295,FALSE,0.8768,185.21
FeVGa,Half Heusler,16,C1b,5.61,1,0.121,10.78,0.698,FALSE,0.6117,128.52
FeVIn,Half Heusler,16,C1b,5.97,1,0.421,40.22,0.366,FALSE,0.075,13.08
FeVSi,Half Heusler,17,C1b,5.44,1,-0.306,15.05,0.423,TRUE,0.745,171.67
FeVGe,Half Heusler,17,C1b,5.5578,1.0023,-0.157,64.87,0.788,TRUE,1,215.58
FeVSn,Half Heusler,17,C1b,5.8667,1.0026,0.054,47.5,0.75,FALSE,0.9593,175.78
FeVP,Half Heusler,18,C1b,5.3138,1.0038,-0.804,0,0.3183,TRUE,0,0
FeVAs,Half Heusler,18,C1b,5.4855,1.0025,-0.468,0,0.366,TRUE,0,0
FeVSb,Half Heusler,18,C1b,5.7758,1.0021,-0.211,0,0.385,TRUE,0,0
FeCrAl,Half Heusler,17,C1b,5.48,1,0.205,6.07,No,FALSE,0.6708,151.21
FeCrGa,Half Heusler,17,C1b,5.49,1,0.242,44.83,No,FALSE,0.8115,181.93
FeCrIn,Half Heusler,17,C1b,5.99,1,0.566,99.98,0.042,FALSE,0.9999,172.59
FeCrSi,Half Heusler,18,C1b,5.3284,1.0043,-0.231,0,No,TRUE,0,0
FeCrGe,Half Heusler,18,C1b,5.4448,1.0025,-0.025,0,No,TRUE,0,0
FeCrSn,Half Heusler,18,C1b,5.8445,1,0.247,100,0.594,FALSE,0,0
FeCrP,Half Heusler,19,C1b,5.2921,0.9978,-0.465,87.54,0.665,TRUE,0.9732,244.1
FeCrAs,Half Heusler,19,C1b,5.4814,0.9961,-0.137,100,0.96,TRUE,1,226.12
FeCrSb,Half Heusler,19,C1b,5.81,1,0.089,100,0.94,FALSE,1.0001,189.17
FeMnAl,Half Heusler,18,C1b,5.42,1.0018,0.157,0,No,FALSE,0.0001,0.02
FeMnGa,Half Heusler,18,C1b,5.49,1,0.214,3.74,0.195,FALSE,0.0115,2.58
FeMnIn,Half Heusler,18,C1b,5.9505,1.0003,0.523,20.59,0.318,FALSE,0.5455,96.01
FeMnSi,Half Heusler,19,C1b,5.3211,1.0008,-0.155,92.28,0.067,TRUE,0.9718,239.09
FeMnGe,Half Heusler,19,C1b,5.4714,0.9954,0.033,100,0.527,FALSE,1,227.53
FeMnSn,Half Heusler,19,C1b,5.92,1,0.222,100,0.475,FALSE,1,178.8
FeMnP,Half Heusler,20,C1b,5.32,0.9981,-0.424,100,0.831,TRUE,2,493.67
FeMnAs,Half Heusler,20,C1b,5.51,1,-0.134,100,1.079,TRUE,2,443.51
FeMnSb,Half Heusler,20,C1b,5.84,1,0.052,100,0.969,FALSE,2,372.49
FeFeAl,Half Heusler,19,C1b,5.5,1,0.236,100,0.081,FALSE,2.9999,668.88
FeFeGa,Half Heusler,19,C1b,5.54,0.9982,0.268,7.04,0.005,FALSE,3.1997,699.35
FeFeIn,Half Heusler,19,C1b,5.91,1.0017,0.512,51.65,No,FALSE,4.5674,819.41
FeFeSi,Half Heusler,20,C1b,5.3404,1.0031,-0.078,98.27,No,TRUE,1.9993,485.46
FeFeGe,Half Heusler,20,C1b,5.48,1,0.091,75.12,0.1,FALSE,2.0647,465.42
FeFeSn,Half Heusler,20,C1b,5.85,1,0.246,23.34,0.047,FALSE,4.0232,745.47
FeFeP,Half Heusler,21,C1b,5.31,1,-0.35,51.25,0.185,TRUE,2.9346,727.1
FeFeAs,Half Heusler,21,C1b,5.49,1,-0.071,93.76,0.261,TRUE,2.999,672.34
FeFeSb,Half Heusler,21,C1b,5.78,1,0.093,100,0.314,FALSE,3,576.32
FeNiAl,Half Heusler,21,C1b,5.56,1.0018,0.146,67.73,No,FALSE,2.7029,582.31
FeNiGa,Half Heusler,21,C1b,5.58,1,0.175,12.83,No,FALSE,2.7949,596.75
FeNiIn,Half Heusler,21,C1b,5.89,0.9983,0.4,14.58,No,FALSE,2.9071,528.66
FeNiSi,Half Heusler,22,C1b,5.4,1.0037,0.002,46.55,No,FALSE,1.9655,461.33
FeNiGe,Half Heusler,22,C1b,5.56,1,0.11,49.63,No,FALSE,2.4891,537.21
FeNiSn,Half Heusler,22,C1b,5.87,0.9983,0.2,54.16,No,FALSE,2.7495,505.13
FeNiP,Half Heusler,23,C1b,5.29,1,-0.232,36.46,No,TRUE,0.1164,29.17
FeNiAs,Half Heusler,23,C1b,5.52,1,0.018,26.68,No,FALSE,2.2393,493.88
FeNiSb,Half Heusler,23,C1b,5.83,1.0034,0.122,46.72,No,FALSE,2.5198,470.11
RuTiAl,Half Heusler,15,C1b,5.94,1,-0.275,31.68,No,TRUE,0.2434,43.08
RuTiGa,Half Heusler,15,C1b,5.94,1,-0.228,1.38,0.11,TRUE,0.0087,1.54
RuTiIn,Half Heusler,15,C1b,6.19,1,0.004,3.34,0.099,FALSE,0.0144,2.25
RuTiSi,Half Heusler,16,C1b,5.82,1.0017,-0.424,0,0.37,TRUE,0.0004,0.08
RuTiGe,Half Heusler,16,C1b,5.92,1,-0.332,2.18,0.452,TRUE,0.0257,4.6
RuTiSn,Half Heusler,16,C1b,6.2044,0.9992,-0.256,0,0.418,TRUE,0.0002,0.03
RuTiP,Half Heusler,17,C1b,5.7261,1.0011,-0.729,0,0.665,TRUE,0,0
RuTiAs,Half Heusler,17,C1b,5.89,1,-0.536,0,0.699,TRUE,0,0
RuTiSb,Half Heusler,17,C1b,6.1404,1.0035,-0.459,0,0.608,TRUE,0.0003,0.05
RuVAl,Half Heusler,16,C1b,5.8262,1.0009,-0.053,25.3,No,TRUE,1.6167,302.97
RuVGa,Half Heusler,16,C1b,5.8303,1.0024,0.022,28.22,No,FALSE,1.5522,289.84
RuVIn,Half Heusler,16,C1b,6.11,1,0.305,22.33,0.185,FALSE,1.7241,280.39
RuVSi,Half Heusler,17,C1b,5.7,1,-0.259,48.49,0.071,TRUE,0.6134,122.87
RuVGe,Half Heusler,17,C1b,5.8,1.0017,-0.121,50.73,0.166,TRUE,0.6805,129.16
RuVSn,Half Heusler,17,C1b,5.83,1,0.021,73,0.233,FALSE,0.942,176.35
RuVP,Half Heusler,18,C1b,5.6167,1.0022,-0.609,0,0.1901,TRUE,0,0
RuVAs,Half Heusler,18,C1b,5.7621,1.0043,-0.358,0,0.2372,TRUE,0,0
RuVSb,Half Heusler,18,C1b,6.018,1.004,-0.222,0,0.1991,TRUE,0,0
RuCrAl,Half Heusler,17,C1b,5.73,1,0.145,35.7,No,FALSE,0.6995,137.93
RuCrGa,Half Heusler,17,C1b,5.74,1,0.24,17.3,No,FALSE,0.6785,133.09
RuCrIn,Half Heusler,17,C1b,6.15,1,0.522,37.08,0.48,FALSE,2.6998,430.56
RuCrSi,Half Heusler,18,C1b,5.6119,1.0039,-0.115,0,No,TRUE,0,0
RuCrGe,Half Heusler,18,C1b,5.7074,1.0067,0.059,0,No,FALSE,0,0
RuCrSn,Half Heusler,18,C1b,5.99,0.9983,0.246,0,No,FALSE,0,0
RuCrP,Half Heusler,19,C1b,5.5796,0.9964,-0.281,90.19,0.399,TRUE,0.9958,213.42
RuCrAs,Half Heusler,19,C1b,5.7409,0.9978,-0.03,100,0.575,TRUE,1,196.49
RuCrSb,Half Heusler,19,C1b,6.01,0.9983,0.107,100,0.584,FALSE,1,171.17
RuMnAl,Half Heusler,18,C1b,5.67,1.0018,0.128,0,No,FALSE,0.0004,0.08
RuMnGa,Half Heusler,18,C1b,5.69,1,0.236,50.95,No,FALSE,0.1057,21.28
RuMnIn,Half Heusler,18,C1b,6.15,1,0.421,100,0.009,FALSE,4,637.91
RuMnSi,Half Heusler,19,C1b,5.6,1.0036,-0.058,93.19,No,TRUE,0.9897,208.31
RuMnGe,Half Heusler,19,C1b,5.72,1,0.104,100,0.133,FALSE,1.0109,200.38
RuMnSn,Half Heusler,19,C1b,6.13,1,0.158,31.68,0.523,FALSE,3.8907,626.58
RuMnP,Half Heusler,20,C1b,5.5888,1.0034,-0.28,100,0.65,TRUE,2,423.56
RuMnAs,Half Heusler,20,C1b,5.7574,1.0006,-0.053,100,0.779,TRUE,2,388.51
RuMnSb,Half Heusler,20,C1b,6.0633,1.0044,0.022,48.53,0.727,FALSE,3.0196,500.33
RuFeAl,Half Heusler,19,C1b,5.7885,0.9993,0.178,90.95,0.029,FALSE,3.0007,574.3
RuFeGa,Half Heusler,19,C1b,5.66,1.0018,0.286,63.75,0.019,FALSE,2.9927,611.19
RuFeIn,Half Heusler,19,C1b,6.08,1,0.505,64.84,No,FALSE,3.4353,567
RuFeSi,Half Heusler,20,C1b,5.64,1,-0.036,50.79,0.033,TRUE,2.1657,447.8
RuFeGe,Half Heusler,20,C1b,5.748,1.0023,0.099,12.84,0.133,FALSE,2.3091,450
RuFeSn,Half Heusler,20,C1b,6.0255,1.0001,0.206,58.25,0.152,FALSE,2.8276,479.44
RuFeP,Half Heusler,21,C1b,5.59,1,-0.229,41.71,0.323,TRUE,2.6572,564.31
RuFeAs,Half Heusler,21,C1b,5.76,1,-0.012,6.65,0.381,TRUE,2.8648,556.1
RuFeSb,Half Heusler,21,C1b,6.03,1,0.053,100,0.356,FALSE,3.0002,507.6
RuNiAl,Half Heusler,21,C1b,5.74,1,-0.109,46.69,0.076,TRUE,1.4444,283.32
