mpid,PF_n,PF_p,S_n,S_p,formula,m_n,m_p
mp-581696,1.38,0.636,-469.0,504.0,CsLu2Cu3Se5,0.725,1.28
mp-778633,0.663,0.00683,-369.0,727.0,LiMnF3,0.579,129.0
mp-19765,0.993,0.146,-178.0,534.0,In2HgTe4,0.0923,0.63
mp-772185,0.936,0.315,-552.0,674.0,Li6Hf2O7,2.51,4.48
mp-12932,0.606,0.481,-634.0,614.0,TbTaO4,2.08,3.11
mp-27780,0.264,0.153,-651.0,671.0,TcCl4,18.8,22.9
mp-567030,0.162,0.0964,-735.0,781.0,Na2MoSeO6,9.42,15.8
mp-561068,1.43,0.688,-553.0,630.0,BiAsO4,0.609,1.26
mp-761727,0.0905,0.0236,-775.0,813.0,LiCoPO4,24.4,186.0
mp-757031,0.264,0.334,-747.0,779.0,Mg2TiO4,8.22,4.72
mp-777200,0.155,0.381,-657.0,585.0,Li2MnPO4F,41.6,5.87
mp-672644,0.272,0.0927,-725.0,795.0,KNO3,38.3,213.0
mp-557570,0.263,0.0426,-681.0,757.0,TeAs(BrF2)3,7.69,60.0
mp-555942,0.565,0.186,-716.0,747.0,Er3SiSe2O10F,18.8,25.2
mp-559243,0.492,0.503,-667.0,693.0,Nd2Ta2Cl2O7,13.0,5.13
mp-708999,0.146,0.0121,-578.0,702.0,KSn2H36C12(Se2N)3,7.15,2550.0
mp-557737,0.659,0.851,-646.0,619.0,Al2BiS4,1.79,1.69
mp-720334,0.886,0.0185,-411.0,765.0,Na2P2H14O13,0.538,82.0
mp-9273,2.39,1.82,-533.0,594.0,K3Sb2Au3,0.589,0.601
mp-625789,0.48,0.56,-637.0,612.0,Sn3(HO2)2,4.62,4.48
mp-541071,0.495,0.0979,-592.0,776.0,KZrP2HO8,17.7,21.1
mp-7560,0.888,0.224,-393.0,700.0,LuBO3,0.491,2.15
mp-772063,0.00196,0.168,-860.0,710.0,BaLaCl5,2670.0,15.3
mp-543104,0.372,0.229,-676.0,766.0,V2O5,31.8,6.6
mp-32119,0.503,0.0453,-671.0,814.0,Mo(PO4)2,148.0,100.0
mp-554111,0.0609,0.689,-778.0,660.0,Ti3Tl3(PO4)5,34.1,482.0
mp-695948,0.875,0.0194,-399.0,770.0,PH4SNO2,0.514,29.2
mp-765826,0.235,0.467,-593.0,627.0,LiMnPO4,4.22,87.1
mp-23147,0.891,0.00667,-393.0,867.0,Na4Al3Si3BrO12,0.488,65.2
mp-753477,1.19,0.608,-522.0,651.0,Li3BiS3,2.29,1.46
mp-5606,1.43,0.523,-517.0,627.0,AlTlF4,1.05,2.0
mp-17650,1.08,0.132,-350.0,680.0,KGaS2,0.338,29.2
mp-24409,1.36,0.365,-509.0,665.0,PH4I,0.542,2.01
mp-622196,0.686,0.139,-502.0,678.0,KHgC3(SN)3,2.09,13.6
mp-559493,0.0149,0.0202,-773.0,794.0,TiPCl7O,248.0,105.0
mp-679997,0.706,0.00122,-459.0,701.0,CsAg2(B5O8)3,0.841,692.0
mp-541728,0.917,0.253,-372.0,-51.2,Si2Ag6O7,0.452,1.59
mp-562920,0.954,0.0347,-392.0,735.0,CsAl(SiO3)2,0.453,15.8
mp-570530,0.609,0.00877,-467.0,739.0,Cs(BCl)6,1.17,201.0
mp-540794,0.601,0.445,-658.0,607.0,Ba3SrNb2O9,2.05,27.9
mp-672675,0.0933,0.326,-667.0,592.0,SNClO4,14.6,12500.0
mp-556020,0.799,0.0628,-441.0,732.0,Li3AlF6,0.688,14.1
mp-568819,0.704,0.156,-581.0,564.0,Bi20(PtBr12)3,2.69,11.0
mp-866522,1.05,0.19,-355.0,692.0,Ca2SnS4,0.425,2.43
mp-29426,0.082,0.0465,-624.0,684.0,Y5C2I9,193.0,38.4
mp-707250,0.915,0.0587,-383.0,749.0,CaZn2(H5O4)2,0.454,9.97
mp-560119,0.637,0.537,-651.0,714.0,TbCl2F,2.54,8.59
mp-561154,0.0146,0.492,-836.0,682.0,La(BO2)3,171.0,5.22
mp-779979,0.82,0.301,-437.0,621.0,Hf2N2O,0.658,2.43
mp-541677,1.04,0.094,-339.0,660.0,Cd2AsO4F,0.311,5.58
mp-23827,0.416,0.297,-685.0,693.0,Sr7(H6Cl)2,3.59,14.8
mp-13596,0.0623,0.106,-784.0,811.0,K2ZrF6,228.0,40.3
mp-720874,0.793,0.0321,-448.0,798.0,PH5NO4,0.748,24.0
mp-867943,1.1,0.0523,-565.0,810.0,Na3H7Os,1.84,20.4
mp-37741,0.745,0.563,-495.0,659.0,Ba(LaSe2)2,0.952,2.69
mp-770500,0.0557,0.0281,-751.0,802.0,Na6Mn2B4SO16,28.5,56.5
mp-567256,0.0394,0.0192,-649.0,733.0,P2H19C6I2NCl4,112.0,259.0
mp-532626,0.288,0.518,-617.0,627.0,NdAl6Si30(N15O)3,792.0,29.4
mp-561108,0.482,0.19,-664.0,706.0,Y(IO3)3,2.82,8.49
mp-28382,0.945,0.0227,-378.0,788.0,K4ZnO3,0.428,39.6
mp-5618,0.966,0.168,-377.0,688.0,Mg2As2O7,0.421,3.53
mp-4249,0.847,0.134,-624.0,824.0,Hg(CO2)2,1.57,11.8
mp-561005,0.617,0.21,-639.0,729.0,SrBi6(PO5)4,5.35,6.03
mp-648053,0.892,0.0219,-414.0,771.0,NaPO3,0.541,22.2
mp-22867,0.975,0.11,-373.0,755.0,RbBr,0.403,3.56
mp-29612,0.551,0.000374,-336.0,810.0,Eu2RbI5,0.7,1490.0
mp-559303,0.116,0.201,-684.0,667.0,MoS3(NCl4)2,18.2,8.1
mp-6568,0.635,0.389,-643.0,644.0,BaCa(CO3)2,2.57,8.76
mp-15257,0.94,0.604,-371.0,482.0,Tb2Se3,0.422,0.977
mp-24124,0.665,0.388,-499.0,616.0,NdH2ClO2,1.18,1.96
mp-772529,0.262,0.22,-691.0,726.0,Y2W2O9,9.09,19.0
mp-17939,0.872,0.00609,-424.0,864.0,Na2SiF6,0.584,478.0
mp-30184,0.151,0.0436,-743.0,766.0,H4C7O,32.6,62.2
mp-27539,0.32,0.338,-714.0,794.0,La2ReO5,4.76,10.4
mp-573812,0.463,0.141,-547.0,617.0,Cs3As11,1.84,6.93
mp-759485,0.214,0.394,-756.0,679.0,LiSb(PO3)4,12.2,8.17
mp-865865,1.08,0.707,-422.0,514.0,Yb(ErS2)2,0.652,1.49
mp-2574,0.778,0.354,-491.0,779.0,ZrO2,1.25,2.01
mp-754478,1.11,0.467,-589.0,587.0,HfZrO4,7.13,2.1
mp-557272,0.0333,0.185,-721.0,688.0,AlS2(NCl2)2,86.5,23.4
mp-4434,0.596,0.408,-617.0,724.0,TbAlO3,2.37,2.82
mp-722467,0.702,0.0376,-478.0,768.0,CdH18Se4(N2O7)2,0.941,42.2
mp-27748,0.249,0.46,-721.0,638.0,Be(B3H7)2,9.16,6.34
mp-8446,1.07,0.168,-403.0,617.0,K2CuP,0.598,2.85
mp-867228,0.54,0.51,-523.0,523.0,K2Mn(PSe3)2,4.76,3.12
mp-504211,0.642,0.403,-604.0,662.0,LiSn(PO3)3,4.06,5.26
mp-686588,0.525,3.67e-05,-492.0,602.0,RbNa10Al11Si13O48,1.39,34000.0
mp-779827,0.00773,0.0723,-901.0,782.0,Ce(WO4)2,367.0,33.0
mp-560673,0.297,0.134,-724.0,767.0,NaPr2S2O8F3,6.19,268.0
mp-771469,0.226,0.646,-646.0,650.0,Li2FeAsCO7,113.0,29.5
mp-18308,0.882,0.0729,-411.0,714.0,CaZn2(PO4)2,0.543,14.0
mp-754109,0.915,0.0896,-405.0,771.0,PrAsO4,0.505,5.43
mp-760205,0.337,0.0109,-582.0,706.0,Ba16S16O59,7.61,189.0
mp-707239,0.0761,0.266,-737.0,684.0,H8C2SeS2(BrN2)2,22.2,13.5
mp-4888,0.593,0.501,-686.0,696.0,NbPO5,3.98,2.86
mp-25082,0.456,0.0803,-741.0,794.0,Mo(CO)6,46.6,35.5
mp-27243,0.938,0.138,-511.0,750.0,K2PtBr4,2.48,8.47
mp-754521,1.06,0.319,-569.0,699.0,Sr(IO3)2,2.11,11.4
mp-28944,1.52,0.244,-349.0,626.0,BiTeCl,0.591,1.42
mp-8016,1.11,0.191,-226.0,528.0,AlCuSe2,0.13,0.855
mp-759636,1.32,0.306,-587.0,694.0,Nb5O12F,4.66,11.2
mp-30018,0.9369999999999999,0.28,-376.0,587.0,Rb2ZnI4,0.438,11.5
mp-866646,0.925,0.313,-473.0,703.0,KGeBiS4,2.34,7.22
mp-766869,0.916,0.459,-479.0,569.0,V2Bi24O41,1.26,31.4
mp-14069,1.02,0.175,-356.0,758.0,CsAlO2,0.348,2.03
mp-707734,0.62,0.151,-584.0,684.0,AsHPb4(ClO)4,1.74,6.62
mp-567699,0.494,0.108,-573.0,779.0,HgB2(CN)8,2.62,24.5
mp-562517,0.932,0.0573,-399.0,746.0,CaMg(SiO3)2,0.483,8.17
mp-690136,0.623,0.0342,-461.0,787.0,Mg4Al3(HO)17,8.83,34600.0
mp-10616,1.54,1.21,-307.0,453.0,BaLiAs,0.335,0.974
mp-625051,0.942,0.139,-388.0,767.0,NaHO,0.453,3.26
mp-19388,0.563,0.155,-676.0,745.0,BaNi2(AsO4)2,6.03,42.6
mp-720245,0.876,0.0192,-437.0,799.0,CsKNaLi13(SiO4)4,0.622,31.3
mp-770795,0.0905,0.141,-702.0,713.0,Na3CuBSO7,43.4,87.2
mp-566406,0.346,0.267,-624.0,648.0,MnVBiO5,4.25,6.12
mp-556151,0.157,0.206,-734.0,721.0,H9C3N3O2,17.1,17.1
mp-705479,0.632,0.0202,-492.0,801.0,SnH6Cl4O3,1.1,40.2
mp-556672,1.01,0.0339,-384.0,822.0,Sn(SeO3)2,0.412,12.3
mp-561635,0.549,0.412,-617.0,633.0,CsSmSiS4,122.0,35.9
mp-17989,0.729,0.187,-438.0,606.0,K3PS4,0.862,3.1
mp-2826,1.37,1.16,-695.0,573.0,Lu2S3,1.2,1.18
mp-756452,1.02,0.289,-388.0,532.0,SmDyO3,0.423,1.66
mp-23131,0.977,0.153,-385.0,673.0,Sr2BN2Cl,0.431,5.64
mp-5985,0.583,0.473,-644.0,622.0,HoTaO4,2.26,3.27
mp-771185,0.895,0.00457,-401.0,793.0,K2Ge2O5,0.506,132.0
mp-5942,1.07,0.314,-492.0,628.0,NaAsS2,1.58,2.26
mp-3775,0.891,0.00327,-428.0,899.0,Na2SiF6,0.581,170.0
mp-765440,0.627,0.105,-531.0,741.0,LiV2F5,2.33,35.9
mp-649080,0.0126,0.0376,-714.0,680.0,Ti2SCl12,114.0,45.3
mp-7310,0.657,1.21,-694.0,595.0,ZrPbF6,44.5,2.49
mp-638061,0.81,0.437,-587.0,637.0,AlInCl4,1.36,4.8
mp-757127,0.417,0.357,-665.0,638.0,LiSi3BiO8,23.3,4.78
mp-755311,0.985,0.163,-368.0,762.0,NaLuO2,0.388,2.86
mp-694964,0.00271,0.0912,-788.0,811.0,Na4MnAl3Si3O16,1230.0,21.8
mp-13066,0.977,0.407,-393.0,516.0,Er2O3,0.467,1.32
mp-769466,0.927,0.0963,-393.0,737.0,Y2Ge2O7,0.478,8.57
mp-556062,0.572,0.0855,-551.0,684.0,NaNb4Tl3P2O17,1.55,12.2
mp-766764,0.0973,0.00922,-779.0,774.0,Li2VOF4,237.0,218.0
mp-31049,0.767,0.663,-628.0,666.0,NdO2,3.69,2.45
mp-3457,0.874,0.0412,-417.0,714.0,ErP5O14,0.56,14.2
mp-696946,0.973,0.373,-552.0,624.0,BaSn2(HO2)2,1.21,3.01
mp-14131,0.16,0.0649,-719.0,748.0,K2Pd(NO2)4,54.1,1170.0
mp-685043,0.472,0.316,-548.0,591.0,BBr,1.96,3.1
mp-27564,0.892,0.0326,-410.0,841.0,Na4B2O5,0.532,31.9
mp-776911,1.0,0.108,-345.0,715.0,MgO,0.335,6.34
mp-763645,1.14,1.14,-79.6,-77.9,Li2FeSiO4,0.148,0.148
mp-21228,1.07,0.275,-318.0,629.0,SrCuSeF,0.279,38.6
mp-675541,0.40599999999999997,0.0881,-565.0,602.0,K2Sn5Cl12,3.51,37.9
mp-555251,0.855,0.1,-427.0,765.0,SiO2,0.6,8.67
mp-6553,0.358,0.383,-737.0,728.0,LiSc(SiO3)2,4.94,12.2
mp-627077,0.944,0.0511,-385.0,677.0,Ba(HO)2,0.442,15.7
mp-12262,0.904,0.0351,-416.0,813.0,CsBeF3,0.546,21.9
mp-6217,0.024,0.839,-899.0,607.0,LaSc3(BO3)4,120.0,3.62
mp-649195,0.0779,0.00627,-685.0,777.0,CrC5SO7,214.0,430.0
mp-568848,0.634,0.0848,-543.0,772.0,GaCl2,1.4,10.5
mp-557842,0.829,0.129,-428.0,742.0,AlPO4,0.625,18.1
mp-29332,1.05,0.164,-370.0,674.0,Pt(PbO2)2,0.429,2.71
mp-770344,0.181,0.00559,-558.0,794.0,Li3V(BO2)5,12.2,184.0
mp-758145,0.377,0.375,-129.0,-127.0,LiTiP2O7,0.15,0.151
mp-653602,0.0306,0.0489,-673.0,675.0,Os3C8SO8,81.3,95.9
mp-865301,0.948,0.284,-516.0,683.0,TmBr3,2.16,3.42
mp-775205,0.134,0.405,-673.0,691.0,Li3MnP2HO8,16.8,16.1
mp-625184,0.912,0.115,-387.0,723.0,Sr(HO)2,0.465,35.6
mp-770296,0.831,0.778,-438.0,533.0,La4Zn3O9,1.38,53200.0
mp-560821,0.984,0.0964,-398.0,650.0,Ca2SiO4,0.456,55.0
mp-767725,0.0547,0.00697,-753.0,804.0,Sr2CrCO3F5,54.7,279.0
mp-14734,0.89,0.00854,-421.0,862.0,CsCOF3,0.563,82.3
mp-5515,0.236,0.263,-667.0,639.0,Li7MnN4,5.32,4.76
mp-757791,0.865,0.101,-408.0,763.0,SmY15O24,0.542,4.75
mp-758987,0.454,0.342,-398.0,-363.0,Na5CuHO4,1.04,1.36
mp-753515,0.869,0.613,-687.0,683.0,Sb3O4F,1.66,5.97
mp-769384,0.0275,0.418,-845.0,746.0,Li3NbOF6,84.3,46.3
mp-10383,0.615,0.417,-152.0,72.7,LaTeAs,0.121,0.166
mp-756134,1.03,0.869,-401.0,482.0,ZrSeO,0.555,0.635
mp-779739,0.821,0.192,-438.0,680.0,Hf2N2O,0.66,4.56
mp-41109,0.883,0.16,-400.0,649.0,Ca3Er3Ge2BO13,0.514,3.33
mp-1933,2.24,1.33,-324.0,-35.4,Cu3N,0.132,0.223
mp-29415,1.05,0.0117,-318.0,808.0,Cd3PCl3,0.273,91.9
mp-2920,0.773,0.488,-561.0,723.0,LaAlO3,1.15,1.85
mp-707285,0.0107,0.0531,-726.0,631.0,CuH16(IO8)2,198.0,2870.0
mp-567771,0.746,0.506,-567.0,680.0,Ba(Si3N4)2,1.28,3.15
mp-759535,0.594,0.0963,-535.0,728.0,Na3Cu5O4,1.5,8.79
mp-4325,0.6869999999999999,0.125,-660.0,786.0,Zr(SO4)2,13.3,14.1
mp-20489,0.794,0.174,-450.0,726.0,SrPbO3,0.76,3.36
mp-735578,0.663,0.0835,-502.0,730.0,SrMoAsH3O8,1.24,14.7
mp-768220,0.808,0.113,-447.0,718.0,Li2YPCO7,0.712,40.7
mp-733650,0.112,0.108,-306.0,50.7,CuH6(SeO4)2,4.96,12.8
mp-3919,0.863,0.127,-423.0,667.0,KBO2,0.612,9.3
mp-28730,0.572,0.436,-537.0,593.0,In7Cl9,1.42,1.87
mp-557537,0.913,0.355,-567.0,744.0,Zn4P6N12O,0.993,2.56
mp-27725,1.37,1.35,-582.0,514.0,AuI,0.764,13.1
mp-753845,0.823,0.618,-313.0,-155.0,LiCuO2,1.73,1.95
mp-555416,0.13,0.0544,-627.0,668.0,Na2V3O7,12.0,1180.0
mp-735481,0.123,0.00222,-721.0,842.0,CoH17C(NO)8,19.2,893.0
mp-15736,0.981,0.185,-374.0,686.0,Sr3AlO4F,0.402,2.27
mp-17660,0.91,0.46,-455.0,576.0,SrPrCuSe3,0.833,1.61
mp-644221,0.851,0.312,-572.0,636.0,H3CSClO,2.99,3.54
mp-604996,0.0301,0.196,-701.0,598.0,CuH12N2(Cl2O)2,48.3,7.08
mp-690525,0.215,0.307,-752.0,695.0,MnCO3,7.56,6.67
mp-29955,1.08,0.0707,-286.0,634.0,Hg3(SeI)2,0.213,5.06
mp-567086,0.248,0.0894,-621.0,705.0,KV2CrO7,918.0,122.0
mp-38125,1.08,0.205,-271.0,603.0,Sm2CdSe4,0.196,1.65
mp-4769,0.922,0.0995,-429.0,772.0,SiP2O7,0.569,17.3
mp-654109,1.13,0.53,-289.0,458.0,BaCu4S3,0.249,1.19
mp-720294,0.882,0.0153,-412.0,817.0,AsH18N3O7,0.544,274.0
mp-754352,0.78,0.352,-457.0,581.0,Na3CuO2,0.76,3.77
mp-770743,0.792,0.163,-481.0,709.0,Li2Hf2O5,1.27,25.1
mp-579015,0.0282,0.0969,-709.0,714.0,K3Mo12PO40,50.2,14.6
mp-603414,0.734,0.0106,-456.0,790.0,Rb2TeH6SeO10,0.801,82.4
mp-643086,0.103,0.0583,-654.0,713.0,MoP4C5S3O5,1940.0,53.1
mp-868610,0.114,0.296,-812.0,766.0,VOF,19.2,261.0
mp-772686,0.269,0.267,-702.0,662.0,Ga2(WO4)3,5.7,5.81
mp-759312,0.89,0.0278,-425.0,763.0,MgSiH12(OF)6,0.571,51.4
mp-34459,0.835,0.587,-474.0,580.0,Ba(NdS2)2,0.863,1.36
mp-849527,0.958,0.0108,-371.0,811.0,Rb3InO3,0.404,43.5
mp-23843,0.463,0.24,-678.0,728.0,LiHSeO3,4.02,6.33
mp-29009,1.04,0.167,-350.0,753.0,Li2MgBr4,0.334,2.12
mp-23568,0.417,0.0247,-591.0,806.0,XeN2(OF4)2,5.04,175.0
mp-20740,1.14,0.418,-187.0,263.0,Tl4Te3Pb,0.121,0.267
mp-8658,1.07,0.148,-311.0,626.0,CsNaSe,0.255,2.4
mp-675953,0.901,0.359,-406.0,579.0,Tl2SeO4,0.534,2.69
mp-568742,0.992,0.158,-337.0,649.0,HgI2,0.327,2.26
mp-7910,1.36,0.262,-286.0,602.0,Al2HgTe4,0.193,0.876
mp-765790,0.26,0.339,-751.0,717.0,LiV(OF)2,58.4,20.5
mp-768942,0.55,0.483,-677.0,639.0,Ho2(SeO3)3,4.89,6.13
mp-625687,0.925,0.0735,-395.0,703.0,H9BrO4,0.476,7810.0
mp-570900,1.06,0.503,-566.0,634.0,K4Sn9,2.93,2.11
mp-771816,0.505,0.419,-577.0,588.0,Gd3NbO7,3.81,3.53
mp-22574,0.977,0.598,-572.0,610.0,HgP14Pb,1.25,2.28
mp-31939,0.419,0.457,-552.0,537.0,LiMnPO4,4.17,2.72
mp-744605,0.199,0.215,204.0,228.0,CoPH4ClO3,25.0,26.0
mp-568713,0.116,0.213,-732.0,740.0,H8C2I3N,27.1,60.4
mp-775326,0.184,0.0415,-674.0,792.0,Li2Ti3NiO8,6.98,30.9
mp-561317,0.461,0.32,-10.0,102.0,Rb2NiF4,1180.0,680.0
mp-769280,0.821,0.384,-562.0,575.0,Ca5Ta4O15,1.93,4.05
mp-16445,1.01,0.451,-474.0,563.0,CsSm2CuSe4,1.06,1.93
mp-540668,0.0697,0.0886,-714.0,679.0,BS2,79.0,385.0
mp-556331,0.752,0.0422,-463.0,773.0,Sr4Pt4PbO11,0.885,25.1
mp-28774,0.33,0.318,-636.0,602.0,KSnF3,6.6,10.2
mp-676923,0.375,0.0956,-624.0,710.0,Cd2Bi6O11,3.34,18.4
mp-19604,0.671,0.0819,-308.0,647.0,NaMnAsO4,0.4,4.41
mp-27865,0.951,0.14,-373.0,738.0,KMgCl3,0.412,3.1
mp-868344,0.109,0.116,-466.0,571.0,Li2Si3Ni3O10,12.0,8.02
mp-640807,0.117,0.389,-810.0,698.0,Na2V2ZnO7,16.6,5.06
mp-568927,1.75,0.824,-432.0,665.0,AgI,0.303,0.719
mp-558254,0.129,0.149,-691.0,760.0,AsS4N4F5,13.3,489.0
mp-624502,0.199,0.0329,-644.0,742.0,NaCoPO4,7.68,113.0
mp-554479,0.868,0.278,-434.0,623.0,Ba3BPO7,0.611,1810.0
mp-36007,0.894,0.754,-507.0,576.0,Ba(NdSe2)2,0.947,1.37
mp-30156,1.08,0.20299999999999999,-329.0,692.0,LiMgN,0.283,2.6
mp-30209,0.653,0.393,-587.0,639.0,LiBH4,2.08,3.38
mp-560639,0.119,0.0607,-728.0,794.0,SbS(BrF2)3,21.6,43.6
mp-695892,0.483,0.0319,-559.0,792.0,KH(IF6)2,1.83,30.6
mp-763389,0.136,0.0267,-704.0,792.0,Li2Co(SiO3)2,15.5,56.1
mp-29051,0.00425,0.00842,-664.0,730.0,WS9Cl4,322.0,149.0
mp-567841,1.47,1.26,-422.0,504.0,Be3P2,0.343,0.399
mp-689963,0.246,0.117,-679.0,706.0,CrPO4,24.4,17.5
mp-10935,0.923,0.061,-403.0,812.0,NaErPO4F,0.497,11.2
mp-559676,1.74,2.37,-380.0,376.0,SnS,0.599,0.325
mp-754712,0.853,0.121,-667.0,787.0,NClO3,7.7,20.3
mp-770341,0.602,0.194,-618.0,703.0,Li4AlCr3O8,1.93,5.66
mp-568545,1.01,0.031,-308.0,710.0,Cd4P2I3,0.267,9.26
mp-401,1.32,1.04,-512.0,464.0,Sc2S3,0.686,0.725
mp-558212,0.734,0.341,-478.0,582.0,KNaNdNbO5,0.936,23300.0
mp-561076,0.865,0.6,-415.0,482.0,La3GaS5O,1.06,1.28
mp-744924,0.0562,0.0529,-714.0,716.0,Na2TiCr(PO4)3,38.7,68.0
mp-1958,1.81,1.05,-501.0,527.0,SrTe,0.39,0.67
mp-765967,0.0696,0.134,-789.0,775.0,WOF4,35.5,37.3
mp-667320,0.34,0.114,-553.0,729.0,SeCl4,2.54,7.55
mp-23683,0.692,0.706,-737.0,709.0,H2CO,2.21,124.0
mp-568397,0.0489,0.0307,-781.0,770.0,CuMo3Cl7,35.2,56.1
mp-11166,0.871,0.0141,-415.0,840.0,BaZnCO3F2,0.561,34.4
mp-557979,0.709,0.453,-441.0,509.0,MnTl2As2S5,2.38,1.29
mp-646669,0.566,0.592,-534.0,501.0,P28Pb5I2,2.06,1.44
mp-695133,0.934,0.112,-398.0,618.0,CsMg4Al9(SiO4)9,0.477,507.0
mp-570539,0.264,0.424,-583.0,616.0,Rb3As7,4.57,27.8
mp-8291,0.145,0.494,-792.0,677.0,BaTiF6,12.3,5.54
mp-684783,0.479,0.449,-578.0,595.0,Na2Pr4Br9NO,8.38,45.4
mp-638009,0.999,0.25,-563.0,736.0,RbPPbS4,11.9,30.5
mp-636464,0.167,0.555,-719.0,621.0,Cs4V2S4O3,36.9,4.03
mp-7580,1.01,0.0743,-347.0,775.0,Hg3(SF)2,0.335,4.56
mp-765727,0.214,0.168,-312.0,-1.21,NaV2O5,12.7,13.4
mp-18449,0.858,0.158,-405.0,703.0,K2ZrO3,0.54,23.4
mp-554082,0.832,0.338,-426.0,745.0,Ho2Hf2O7,0.615,1.52
mp-21282,0.666,0.167,-603.0,715.0,Na2SO3,1.56,6.53
mp-754445,0.115,0.179,-760.0,748.0,Li2Ti(BO3)2,30.8,204.0
mp-761561,0.154,0.0579,-694.0,756.0,LiCr(SiO3)2,9.74,24.2
mp-557142,1.27,0.417,-475.0,612.0,Li2S,0.535,1.66
mp-600220,0.0882,0.0408,-728.0,798.0,InH6(CO3)3,25.9,53.1
mp-643277,0.865,0.0448,-427.0,784.0,SiH6(NF2)2,0.595,15.2
mp-573045,0.0596,0.088,-673.0,647.0,MoSeCl7O,48.3,60.0
mp-560316,0.983,0.185,-376.0,655.0,Hg3SO6,0.427,8.87
mp-23099,2.27,0.37,-469.0,660.0,Cs2Pd(IBr2)2,2.07,1.89
mp-625565,1.05,0.171,-350.0,787.0,Cd(HO)2,0.34,3.71
mp-551470,2.64,0.811,-416.0,648.0,Tl2O,0.187,2.59
mp-23056,1.15,0.0222,-329.0,874.0,Sr2BrN,0.266,20.0
mp-552604,1.11,0.321,-333.0,652.0,YBi2ClO4,0.324,7.36
mp-706586,0.855,0.0225,-428.0,851.0,H4NClO4,0.605,23.9
mp-765265,0.0418,0.042,44.4,53.2,Ti2Mn(PO4)3,0.158,0.157
mp-29835,0.815,0.347,-444.0,652.0,K2SnTe3,0.729,3.32
mp-642844,0.936,0.0657,-386.0,756.0,BaH5BrO3,0.448,6.52
mp-771335,0.75,0.432,-566.0,627.0,Na3SnPCO7,1.23,41.7
mp-11924,0.469,0.42,-619.0,667.0,Rb2TaCuSe4,5.56,31.1
mp-764251,0.102,0.101,153.0,177.0,NaLi2CoPCO7,5.5,5.2
mp-761755,1.86,1.85,-37.7,-37.7,LiCu(PO3)3,0.159,0.158
mp-14235,0.969,0.0373,-398.0,764.0,SrGa2(SiO4)2,0.46,22.2
mp-866506,0.941,0.951,-622.0,588.0,CaSn2S5,1.73,1.89
mp-36592,0.698,0.346,-466.0,638.0,Nd5AgSe8,0.918,6.47
mp-32422,0.465,0.177,-571.0,748.0,LiV(PO4)2,2.02,7.1
mp-744205,0.151,0.027,-675.0,790.0,K2Cr2AsHO10,10.1,768.0
mp-643794,0.142,0.0313,-783.0,814.0,HSO3F,19.4,56.6
mp-9318,0.813,1.07,-268.0,313.0,KZrCuSe3,1.74,2.41
mp-760582,0.793,0.0571,-447.0,845.0,Li2AgF3,0.712,11.6
mp-580503,0.197,0.0365,-564.0,711.0,V2Cd6Se5O21,26.2,101.0
mp-756030,0.0235,0.909,-862.0,617.0,GdTmO3,94.1,2.46
mp-767686,0.686,0.0331,-353.0,707.0,Li2Mn(SiO3)2,0.516,12.7
mp-695316,0.899,0.0202,-394.0,772.0,Ca2AlH10BrO8,0.494,30.9
mp-25614,0.229,0.378,-758.0,711.0,LiNiPO4,13.9,5.52
mp-562764,0.322,0.0701,-639.0,724.0,Ba7B4S13,5.46,20.6
mp-723093,0.412,0.00157,-551.0,701.0,Na5H29(IO12)2,2.22,1450.0
mp-29391,0.651,0.00961,-481.0,785.0,SbCl3F2,1.05,257.0
mp-554827,0.0521,0.042,-737.0,787.0,NaMnCrF6,187.0,179.0
mp-556171,0.364,0.168,-628.0,706.0,CdP2Xe5F22,5.45,342.0
mp-505733,0.0905,0.0263,-767.0,810.0,Na4MoO5,28.8,144.0
mp-707208,0.293,0.174,-668.0,694.0,H8C2SeS2(N2Cl)2,7.24,11.1
mp-554532,0.464,0.0352,-690.0,779.0,K2TeClF5,4.16,43.8
mp-5706,1.34,0.821,-549.0,611.0,SnPSe3,1.15,1.4
mp-554665,0.889,0.0955,-421.0,717.0,SiO2,0.563,17.0
mp-510458,0.197,0.276,-761.0,699.0,HCN,10.8,24.8
mp-566655,0.123,0.411,-779.0,663.0,Na2U(WO5)2,4740.0,4.39
mp-17841,0.523,0.251,-555.0,741.0,Mg4Nb2O9,1.73,4.87
mp-767871,0.0376,0.0768,-737.0,661.0,Li3MnPCO7,52.4,23.8
mp-43068,0.892,0.00974,-411.0,726.0,Na3Al3Si3AgBrO12,0.536,413.0
mp-12365,0.615,0.395,-519.0,679.0,KThCuS3,1.37,16.3
mp-720842,1.62,1.78,-557.0,548.0,BaH8PtC4(NO)4,84.7,804.0
mp-744527,0.0757,0.0289,-738.0,787.0,CoP2H17N4O9,83.5,68.9
mp-773929,1.17,0.298,-553.0,701.0,CrCuO2,0.742,4.02
mp-622861,0.359,0.385,-714.0,642.0,CsDy(MoO4)2,11.7,18.8
mp-9816,0.729,0.0774,-471.0,835.0,GeF4,0.859,8.09
mp-554218,0.101,0.122,-806.0,790.0,Ti4P6PbO24,23.1,15.5
mp-776890,0.982,0.0382,-352.0,798.0,Rb2O,0.355,10.1
mp-639682,0.829,0.122,-433.0,728.0,SiO2,0.638,4.32
