Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Vacancy energy [eV/O atom]
LuAcO3,Lu,Ac,FALSE,element not in BV,element not in BV,1.03,1.12,orthorhombic,-3.553,0.240,0.000,16.779,3.320,6.073,6.194,8.921,90.0,90.0,90.0,0.046
LuAgO3,Lu,Ag,FALSE,3,3,1.03,0.75,cubic,-1.295,0.798,0.000,12.777,0.000,3.998,3.998,3.998,90.0,90.0,90.0,-0.965
LuAlO3,Lu,Al,TRUE,3,3,1.03,0.54,orthorhombic,-3.622,-0.008,0.000,9.848,6.174,5.078,5.326,7.283,90.0,90.0,90.0,6.179
LuAsO3,Lu,As,FALSE,3,3,1.03,0.58,cubic,-1.773,0.945,0.000,12.537,0.000,3.972,3.972,3.972,90.0,90.0,90.0,1.859
LuAuO3,Lu,Au,FALSE,element not in BV,element not in BV,1.03,0.93,cubic,-1.148,0.973,0.000,13.557,0.000,4.077,4.077,4.077,90.0,90.0,90.0,-1.049
LuBO3,Lu,B,FALSE,3,3,1.03,0.27,cubic,-2.525,0.880,0.000,7.901,3.125,3.406,3.406,3.406,90.0,90.0,90.0,5.405
LuBaO3,Lu,Ba,FALSE,not balanced,not balanced,1.03,1.35,orthorhombic,-2.871,0.291,0.200,17.700,0.642,6.409,6.753,8.180,90.0,90.0,90.0,-8.533
LuBeO3,Lu,Be,FALSE,not balanced,not balanced,1.03,0.45,tetragonal,-2.814,0.354,0.020,9.222,0.000,3.241,3.241,4.388,90.0,90.0,90.0,-1.355
LuBiO3,Lu,Bi,FALSE,3,3,1.03,1.03,cubic,-1.379,1.339,0.000,16.542,0.000,4.357,4.357,4.357,90.0,90.0,90.0,0.107
LuCaO3,Lu,Ca,FALSE,not balanced,not balanced,1.03,1.00,cubic,-1.996,1.276,0.000,13.788,0.000,4.100,4.100,4.100,90.0,90.0,90.0,-3.504
LuCdO3,Lu,Cd,FALSE,not balanced,not balanced,1.03,0.95,cubic,-1.455,1.021,0.000,13.490,0.000,4.071,4.071,4.071,90.0,90.0,90.0,-1.468
LuCeO3,Lu,Ce,FALSE,3,3,1.03,1.01,cubic,-2.148,1.593,0.003,18.538,0.000,4.526,4.526,4.526,90.0,90.0,90.0,1.610
LuCoO3,Lu,Co,FALSE,3,3,1.03,0.61,orthorhombic,-2.573,0.035,0.000,10.328,1.410,5.114,5.546,7.283,90.0,90.0,90.0,1.890
LuCrO3,Lu,Cr,TRUE,3,3,1.03,0.62,orthorhombic,-3.233,-0.011,0.600,10.700,2.393,5.175,5.519,7.493,90.0,90.0,90.0,3.926
LuCsO3,Lu,Cs,FALSE,not balanced,not balanced,1.03,1.67,-,-,-,-,-,-,-,-,-,-,-,-,-
LuCuO3,Lu,Cu,FALSE,3,3,1.03,0.54,orthorhombic,-2.309,0.018,0.000,10.498,0.273,5.121,5.809,7.059,90.0,90.0,90.0,0.256
LuDyO3,Lu,Dy,FALSE,3,3,1.03,0.91,cubic,-2.753,1.153,0.000,15.334,0.591,4.248,4.248,4.248,90.0,90.0,90.0,-0.415
LuErO3,Lu,Er,FALSE,3,3,1.03,0.89,cubic,-2.856,1.073,0.000,14.843,0.878,4.202,4.202,4.202,90.0,90.0,90.0,0.359
LuEuO3,Lu,Eu,FALSE,3,3,1.03,0.95,orthorhombic,-3.128,0.227,0.200,14.799,0.000,5.582,5.682,9.331,90.0,90.0,90.0,-3.424
LuFeO3,Lu,Fe,TRUE,3,3,1.03,0.65,orthorhombic,-2.808,0.001,1.000,10.832,1.263,5.197,5.533,7.534,90.0,90.0,90.0,2.726
LuGaO3,Lu,Ga,FALSE,3,3,1.03,0.62,orthorhombic,-3.002,0.030,0.000,10.647,4.106,5.172,5.507,7.477,90.0,90.0,90.0,4.166
LuGdO3,Lu,Gd,FALSE,3,3,1.03,0.94,cubic,-2.635,1.242,0.000,15.960,0.417,4.305,4.305,4.305,90.0,90.0,90.0,-1.222
LuGeO3,Lu,Ge,FALSE,3,3,1.03,0.63,cubic,-2.095,0.736,0.000,11.320,0.000,3.840,3.840,3.840,90.0,90.0,90.0,2.514
LuHfO3,Lu,Hf,FALSE,3,3,1.03,0.71,cubic,-3.008,0.701,0.000,13.441,0.000,4.066,4.066,4.066,90.0,90.0,90.0,4.267
LuHgO3,Lu,Hg,FALSE,not balanced,not balanced,1.03,1.11,cubic,-1.018,1.144,-0.005,14.494,0.000,4.169,4.169,4.169,90.0,90.0,90.0,-1.412
LuHoO3,Lu,Ho,FALSE,3,3,1.03,0.90,cubic,-2.808,1.110,0.000,15.148,0.884,4.231,4.231,4.231,90.0,90.0,90.0,-0.008
LuInO3,Lu,In,FALSE,3,3,1.03,0.80,cubic,-2.010,0.893,0.000,13.548,0.993,4.076,4.076,4.076,90.0,90.0,90.0,2.407
LuIrO3,Lu,Ir,FALSE,3,3,1.03,0.68,cubic,-1.513,0.947,0.000,12.178,0.000,3.934,3.934,3.934,90.0,90.0,90.0,-1.445
LuKO3,Lu,K,FALSE,not balanced,not balanced,1.03,1.38,orthorhombic,-2.100,0.458,0.400,17.209,0.000,5.756,5.773,10.357,90.0,90.0,90.0,-4.315
LuLaO3,Lu,La,FALSE,3,3,1.03,1.03,cubic,-2.270,1.567,0.000,18.197,0.000,4.498,4.498,4.498,90.0,90.0,90.0,1.309
LuLiO3,Lu,Li,FALSE,not balanced,not balanced,1.03,0.76,cubic,-2.031,0.632,0.399,9.190,0.000,3.582,3.582,3.582,90.0,90.0,90.0,-1.761
Lu2O3,Lu,Lu,FALSE,3,3,1.03,0.86,cubic,-3.004,0.957,0.000,14.132,0.853,4.134,4.134,4.134,90.0,90.0,90.0,1.406
LuMgO3,Lu,Mg,FALSE,not balanced,not balanced,1.03,0.72,cubic,-2.506,0.662,0.198,10.730,0.000,3.772,3.772,3.772,90.0,90.0,90.0,-2.022
LuMnO3,Lu,Mn,TRUE,3,3,1.03,0.65,orthorhombic,-2.982,0.052,0.800,10.871,0.422,5.189,5.658,7.406,90.0,90.0,90.0,3.157
LuMoO3,Lu,Mo,FALSE,3,3,1.03,0.69,cubic,-2.143,0.808,0.002,12.264,0.000,3.943,3.943,3.943,90.0,90.0,90.0,1.071
LuNaO3,Lu,Na,FALSE,not balanced,not balanced,1.03,1.02,cubic,-1.312,1.248,0.400,11.723,0.000,3.885,3.885,3.885,90.0,90.0,90.0,-3.364
LuNbO3,Lu,Nb,FALSE,3,3,1.03,0.72,cubic,-2.467,0.789,0.000,12.973,0.000,4.018,4.018,4.018,90.0,90.0,90.0,2.619
LuNdO3,Lu,Nd,FALSE,3,3,1.03,0.98,cubic,-2.329,1.462,0.000,17.501,0.000,4.440,4.440,4.440,90.0,90.0,90.0,2.364
LuNiO3,Lu,Ni,FALSE,3,3,1.03,0.60,orthorhombic,-2.440,0.037,0.200,10.119,0.000,5.054,5.530,7.241,90.0,90.0,90.0,0.736
LuNpO3,Lu,Np,FALSE,element not in BV,element not in BV,1.03,0.86,cubic,-2.448,1.301,0.736,17.011,0.000,4.398,4.398,4.398,90.0,90.0,90.0,1.495
LuOsO3,Lu,Os,FALSE,element not in BV,element not in BV,1.03,0.57,cubic,-1.558,0.946,0.003,12.077,0.000,3.923,3.923,3.923,90.0,90.0,90.0,-0.503
LuPaO3,Lu,Pa,FALSE,element not in BV,element not in BV,1.03,0.91,cubic,-2.289,1.086,0.199,17.731,0.000,4.459,4.459,4.459,90.0,90.0,90.0,2.285
LuPbO3,Lu,Pb,FALSE,not balanced,not balanced,1.03,0.99,cubic,-1.358,1.239,0.000,15.545,0.000,4.268,4.268,4.268,90.0,90.0,90.0,0.427
LuPdO3,Lu,Pd,FALSE,not balanced,not balanced,1.03,0.75,cubic,-1.578,0.662,-0.001,12.159,0.000,3.932,3.932,3.932,90.0,90.0,90.0,-0.618
LuPmO3,Lu,Pm,FALSE,element not in BV,element not in BV,1.03,0.97,cubic,-2.420,1.399,0.000,17.017,0.000,4.398,4.398,4.398,90.0,90.0,90.0,-2.609
LuPrO3,Lu,Pr,FALSE,3,3,1.03,0.99,cubic,-2.244,1.525,0.000,17.971,0.000,4.479,4.479,4.479,90.0,90.0,90.0,2.007
LuPtO3,Lu,Pt,FALSE,element not in BV,element not in BV,1.03,0.67,cubic,-1.418,0.911,0.000,12.753,0.000,3.995,3.995,3.995,90.0,90.0,90.0,-0.951
LuPuO3,Lu,Pu,FALSE,element not in BV,element not in BV,1.03,0.83,cubic,-2.506,1.291,0.874,16.523,0.000,4.355,4.355,4.355,90.0,90.0,90.0,2.614
LuRbO3,Lu,Rb,FALSE,not balanced,not balanced,1.03,1.52,cubic,-0.349,2.201,0.012,16.095,0.000,4.317,4.317,4.317,90.0,90.0,90.0,-3.998
LuReO3,Lu,Re,FALSE,3,3,1.03,0.63,cubic,-1.769,0.981,0.138,12.132,0.000,3.929,3.929,3.929,90.0,90.0,90.0,-0.465
LuRhO3,Lu,Rh,FALSE,3,3,1.03,0.67,cubic,-1.728,0.720,0.001,11.811,0.000,3.894,3.894,3.894,90.0,90.0,90.0,-0.647
LuRuO3,Lu,Ru,FALSE,3,3,1.03,0.68,cubic,-1.779,0.772,0.140,11.816,0.000,3.895,3.895,3.895,90.0,90.0,90.0,0.094
LuSbO3,Lu,Sb,FALSE,3,3,1.03,0.76,cubic,-1.597,1.174,0.000,14.726,0.000,4.191,4.191,4.191,90.0,90.0,90.0,0.010
LuScO3,Lu,Sc,FALSE,3,3,1.03,0.75,cubic,-3.189,0.696,0.000,12.449,2.638,3.963,3.963,3.963,90.0,90.0,90.0,4.801
LuSiO3,Lu,Si,FALSE,3,3,1.03,0.40,cubic,-2.554,0.876,0.001,9.658,0.000,3.642,3.642,3.642,90.0,90.0,90.0,4.364
LuSmO3,Lu,Sm,FALSE,3,3,1.03,0.96,cubic,-2.478,1.354,0.000,16.714,0.000,4.372,4.372,4.372,90.0,90.0,90.0,-1.156
LuSnO3,Lu,Sn,FALSE,not balanced,not balanced,1.03,0.69,cubic,-1.880,0.996,0.001,13.655,0.000,4.087,4.087,4.087,90.0,90.0,90.0,2.179
LuSrO3,Lu,Sr,FALSE,not balanced,not balanced,1.03,1.18,orthorhombic,-2.972,0.246,0.200,15.952,0.922,6.174,6.355,8.132,90.0,90.0,90.0,-5.380
LuTaO3,Lu,Ta,FALSE,3,3,1.03,0.72,cubic,-2.552,0.807,0.000,12.780,0.000,3.998,3.998,3.998,90.0,90.0,90.0,2.596
LuTbO3,Lu,Tb,FALSE,3,3,1.03,0.92,cubic,-2.565,1.196,0.000,15.633,0.593,4.276,4.276,4.276,90.0,90.0,90.0,-0.812
LuTcO3,Lu,Tc,FALSE,element not in BV,element not in BV,1.03,0.60,cubic,-1.949,0.797,0.319,12.024,0.000,3.917,3.917,3.917,90.0,90.0,90.0,0.535
LuTeO3,Lu,Te,FALSE,not balanced,not balanced,1.03,0.77,cubic,-1.294,1.305,0.001,15.096,0.000,4.226,4.226,4.226,90.0,90.0,90.0,0.346
LuThO3,Lu,Th,FALSE,not balanced,not balanced,1.03,0.94,cubic,-2.682,1.206,0.008,18.873,0.000,4.553,4.553,4.553,90.0,90.0,90.0,1.859
LuTiO3,Lu,Ti,TRUE,3,3,1.03,0.67,orthorhombic,-3.482,0.060,0.200,11.046,0.000,5.222,5.601,7.553,90.0,90.0,90.0,4.341
LuTlO3,Lu,Tl,FALSE,3,3,1.03,0.89,orthorhombic,-2.300,0.149,0.000,13.621,1.053,5.447,5.792,8.636,90.0,90.0,90.0,0.315
LuTmO3,Lu,Tm,FALSE,3,3,1.03,0.88,cubic,-2.919,1.027,0.000,14.578,1.025,4.177,4.177,4.177,90.0,90.0,90.0,0.782
LuUO3,Lu,U,FALSE,3,3,1.03,1.03,cubic,-2.473,1.227,0.451,16.973,0.000,4.395,4.395,4.395,90.0,90.0,90.0,1.311
LuVO3,Lu,V,FALSE,3,3,1.03,0.64,cubic,-2.743,0.553,0.400,11.209,0.000,3.827,3.827,3.827,90.0,90.0,90.0,3.721
LuWO3,Lu,W,FALSE,3,3,1.03,0.66,cubic,-2.068,0.960,0.000,12.337,0.000,3.951,3.951,3.951,90.0,90.0,90.0,0.590
LuYO3,Lu,Y,FALSE,3,3,1.03,0.90,cubic,-2.729,1.156,0.000,15.313,0.868,4.246,4.246,4.246,90.0,90.0,90.0,-0.404
LuYbO3,Lu,Yb,FALSE,3,3,1.03,0.87,cubic,-2.241,1.143,-0.159,13.552,0.000,4.077,4.077,4.077,90.0,90.0,90.0,-2.456
LuZnO3,Lu,Zn,FALSE,not balanced,not balanced,1.03,0.74,cubic,-2.055,0.586,0.000,10.763,0.000,3.775,3.775,3.775,90.0,90.0,90.0,-0.648
LuZrO3,Lu,Zr,FALSE,3,3,1.03,0.72,cubic,-2.834,0.791,0.000,13.993,0.000,4.121,4.121,4.121,90.0,90.0,90.0,3.882
MgAcO3,Mg,Ac,FALSE,element not in BV,element not in BV,0.89,1.12,orthorhombic,-2.778,0.199,0.200,15.257,0.592,5.598,6.166,8.840,90.0,90.0,90.0,-
MgAgO3,Mg,Ag,FALSE,not balanced,not balanced,0.89,0.95,cubic,-0.491,0.812,-,12.494,0.000,3.968,3.968,3.968,90.0,90.0,90.0,-2.412
MgAlO3,Mg,Al,FALSE,not balanced,not balanced,0.89,0.54,orthorhombic,-2.611,0.247,-,8.956,0.000,5.029,5.273,6.754,90.0,90.0,90.0,-1.029
MgAsO3,Mg,As,FALSE,not balanced,not balanced,0.89,0.52,cubic,-1.460,0.653,-,11.102,0.000,3.815,3.815,3.815,90.0,90.0,90.0,1.423
MgAuO3,Mg,Au,FALSE,element not in BV,element not in BV,0.89,0.93,cubic,-0.507,0.821,-,12.832,0.000,4.003,4.003,4.003,90.0,90.0,90.0,-1.620
MgBO3,Mg,B,FALSE,not balanced,not balanced,0.89,0.27,cubic,-1.546,1.046,-,7.318,0.000,3.320,3.320,3.320,90.0,90.0,90.0,-1.938
MgBaO3,Mg,Ba,FALSE,not balanced,not balanced,0.89,1.35,orthorhombic,-2.189,0.261,-,15.988,2.388,6.136,6.627,7.863,90.0,90.0,90.0,-0.976
MgBeO3,Mg,Be,FALSE,not balanced,not balanced,0.89,0.45,cubic,-1.631,0.751,-,8.068,0.000,3.430,3.430,3.430,90.0,90.0,90.0,-3.208
MgBiO3,Mg,Bi,FALSE,not balanced,not balanced,0.89,0.90,cubic,-1.143,0.814,-,15.302,0.000,4.245,4.245,4.245,90.0,90.0,90.0,0.423
MgCaO3,Mg,Ca,FALSE,not balanced,not balanced,0.89,1.00,cubic,-1.140,1.343,-,14.693,0.000,4.188,4.188,4.188,90.0,90.0,90.0,-5.014
MgCdO3,Mg,Cd,FALSE,not balanced,not balanced,0.89,0.95,cubic,-0.643,1.047,-,13.302,0.000,4.052,4.052,4.052,90.0,90.0,90.0,-3.396
MgCeO3,Mg,Ce,FALSE,2,4,0.89,0.87,orthorhombic,-2.711,0.236,0.200,14.417,0.613,5.674,5.946,8.548,90.0,90.0,90.0,-3.540
MgCoO3,Mg,Co,FALSE,2,4,0.89,0.53,cubic,-1.244,0.573,0.294,9.757,0.000,3.654,3.654,3.654,90.0,90.0,90.0,-
MgCrO3,Mg,Cr,FALSE,2,4,0.89,0.55,cubic,-1.937,0.564,0.399,10.386,0.000,3.731,3.731,3.731,90.0,90.0,90.0,0.439
MgCsO3,Mg,Cs,FALSE,not balanced,not balanced,0.89,1.67,cubic,0.051,1.871,-,17.518,0.000,4.441,4.441,4.441,90.0,90.0,90.0,-2.627
MgCuO3,Mg,Cu,FALSE,not balanced,not balanced,0.89,0.68,cubic,-0.976,0.543,-,9.902,0.000,3.672,3.672,3.672,90.0,90.0,90.0,-1.789
MgDyO3,Mg,Dy,FALSE,not balanced,not balanced,0.89,0.99,cubic,-2.039,1.073,0.200,15.418,0.000,4.256,4.256,4.256,90.0,90.0,90.0,-2.681
MgErO3,Mg,Er,FALSE,not balanced,not balanced,0.89,0.89,cubic,-2.104,1.032,0.200,14.993,0.000,4.217,4.217,4.217,90.0,90.0,90.0,-2.566
MgEuO3,Mg,Eu,FALSE,not balanced,not balanced,0.89,1.06,orthorhombic,-2.413,0.141,0.000,12.876,2.525,5.899,6.062,7.202,90.0,90.0,90.0,-4.319
MgFeO3,Mg,Fe,FALSE,2,4,0.89,0.59,orthorhombic,-1.954,0.100,0.799,9.425,0.000,4.977,5.215,7.262,90.0,90.0,90.0,0.070
MgGaO3,Mg,Ga,FALSE,not balanced,not balanced,0.89,0.62,cubic,-1.594,0.673,-,10.830,0.000,3.783,3.783,3.783,90.0,90.0,90.0,-2.133
MgGdO3,Mg,Gd,FALSE,not balanced,not balanced,0.89,0.94,cubic,-1.968,1.115,0.200,15.978,0.000,4.307,4.307,4.307,90.0,90.0,90.0,-2.812
MgGeO3,Mg,Ge,FALSE,2,4,0.89,0.53,cubic,-1.882,0.522,-,10.036,1.576,3.688,3.688,3.688,90.0,90.0,90.0,3.024
MgHfO3,Mg,Hf,FALSE,2,4,0.89,0.71,cubic,-2.878,0.604,0.000,13.227,1.009,4.044,4.044,4.044,90.0,90.0,90.0,3.554
MgHgO3,Mg,Hg,FALSE,not balanced,not balanced,0.89,1.11,cubic,-0.386,0.991,-,13.836,0.000,4.105,4.105,4.105,90.0,90.0,90.0,-2.924
MgHoO3,Mg,Ho,FALSE,not balanced,not balanced,0.89,0.90,cubic,-2.073,1.051,0.200,15.199,0.000,4.236,4.236,4.236,90.0,90.0,90.0,-2.614
MgInO3,Mg,In,FALSE,not balanced,not balanced,0.89,0.80,cubic,-1.187,0.922,-,13.515,0.000,4.073,4.073,4.073,90.0,90.0,90.0,-2.595
MgIrO3,Mg,Ir,FALSE,2,4,0.89,0.63,cubic,-1.017,0.800,0.193,11.844,0.000,3.898,3.898,3.898,90.0,90.0,90.0,-0.164
MgKO3,Mg,K,FALSE,not balanced,not balanced,0.89,1.38,cubic,0.264,2.092,-,14.586,0.000,4.178,4.178,4.178,90.0,90.0,90.0,-4.740
MgLaO3,Mg,La,FALSE,not balanced,not balanced,0.89,1.03,orthorhombic,-2.815,0.229,0.200,14.300,0.655,5.560,5.995,8.580,90.0,90.0,90.0,-3.153
MgLiO3,Mg,Li,FALSE,not balanced,not balanced,0.89,0.76,cubic,-0.861,1.033,-,8.925,0.000,3.547,3.547,3.547,90.0,90.0,90.0,-4.988
MgLuO3,Mg,Lu,FALSE,not balanced,not balanced,0.89,0.86,cubic,-2.202,0.966,0.199,14.420,0.000,4.162,4.162,4.162,90.0,90.0,90.0,-2.382
Mg2O3,Mg,Mg,FALSE,not balanced,not balanced,0.89,0.72,cubic,-1.465,0.909,-,10.992,0.000,3.802,3.802,3.802,90.0,90.0,90.0,-3.239
MgMnO3,Mg,Mn,FALSE,2,4,0.89,0.53,orthorhombic,-2.219,0.077,0.600,9.249,0.705,4.951,5.183,7.208,90.0,90.0,90.0,0.004
MgMoO3,Mg,Mo,FALSE,2,4,0.89,0.65,cubic,-1.924,0.597,0.001,11.972,0.000,3.912,3.912,3.912,90.0,90.0,90.0,3.429
MgNaO3,Mg,Na,FALSE,not balanced,not balanced,0.89,1.02,cubic,-0.208,1.597,-,12.396,0.000,3.957,3.957,3.957,90.0,90.0,90.0,-9.354
MgNbO3,Mg,Nb,FALSE,2,4,0.89,0.68,cubic,-2.323,0.529,0.000,12.767,0.000,3.997,3.997,3.997,90.0,90.0,90.0,4.379
MgNdO3,Mg,Nd,FALSE,not balanced,not balanced,0.89,0.98,orthorhombic,-2.762,0.289,0.200,13.928,0.680,5.633,5.854,8.447,90.0,90.0,90.0,-3.289
MgNiO3,Mg,Ni,FALSE,2,4,0.89,0.48,cubic,-1.102,0.590,0.001,9.771,0.000,3.656,3.656,3.656,90.0,90.0,90.0,-1.539
MgNpO3,Mg,Np,FALSE,element not in BV,element not in BV,0.89,0.86,orthorhombic,-3.180,0.225,0.600,13.121,2.588,5.597,5.647,8.303,90.0,90.0,90.0,1.747
MgOsO3,Mg,Os,FALSE,element not in BV,element not in BV,0.89,0.57,cubic,-1.213,0.662,0.210,11.750,0.000,3.888,3.888,3.888,90.0,90.0,90.0,1.023
MgPaO3,Mg,Pa,FALSE,element not in BV,element not in BV,0.89,0.91,cubic,-2.381,0.657,0.009,16.741,0.000,4.374,4.374,4.374,90.0,90.0,90.0,4.613
MgPbO3,Mg,Pb,FALSE,2,4,0.89,0.78,cubic,-1.047,0.800,-,14.514,0.000,4.171,4.171,4.171,90.0,90.0,90.0,0.440
MgPdO3,Mg,Pd,FALSE,2,4,0.89,0.62,cubic,-0.798,0.658,-,11.828,0.000,3.896,3.896,3.896,90.0,90.0,90.0,-1.351
MgPmO3,Mg,Pm,FALSE,element not in BV,element not in BV,0.89,0.97,orthorhombic,-2.791,0.235,0.201,13.692,0.702,5.610,5.817,8.392,90.0,90.0,90.0,-3.150
MgPrO3,Mg,Pr,FALSE,2,4,0.89,0.85,orthorhombic,-2.739,0.236,0.200,14.145,0.821,5.647,5.893,8.500,90.0,90.0,90.0,-3.347
MgPtO3,Mg,Pt,FALSE,element not in BV,element not in BV,0.89,0.67,cubic,-0.805,0.818,0.060,12.166,0.000,3.933,3.933,3.933,90.0,90.0,90.0,-1.306
MgPuO3,Mg,Pu,FALSE,element not in BV,element not in BV,0.89,0.83,orthorhombic,-3.087,0.061,0.800,12.910,1.564,5.567,5.617,8.258,90.0,90.0,90.0,1.122
MgRbO3,Mg,Rb,FALSE,not balanced,not balanced,0.89,1.52,cubic,0.246,2.061,-,15.380,0.000,4.252,4.252,4.252,90.0,90.0,90.0,-3.974
MgReO3,Mg,Re,FALSE,2,4,0.89,0.63,cubic,-1.558,0.645,0.000,11.844,0.000,3.898,3.898,3.898,90.0,90.0,90.0,1.669
MgRhO3,Mg,Rh,FALSE,2,4,0.89,0.60,cubic,-1.067,0.734,0.260,11.640,0.000,3.875,3.875,3.875,90.0,90.0,90.0,-0.243
MgRuO3,Mg,Ru,FALSE,2,4,0.89,0.62,cubic,-1.290,0.648,0.395,11.615,0.000,3.873,3.873,3.873,90.0,90.0,90.0,1.013
MgSbO3,Mg,Sb,FALSE,2,4,0.89,0.68,cubic,-1.478,0.742,-,13.339,0.000,4.055,4.055,4.055,90.0,90.0,90.0,1.878
MgScO3,Mg,Sc,FALSE,not balanced,not balanced,0.89,0.75,cubic,-2.279,0.812,0.001,12.847,0.000,4.005,4.005,4.005,90.0,90.0,90.0,-2.243
MgSiO3,Mg,Si,FALSE,2,4,0.89,0.40,orthorhombic,-2.869,0.208,-,8.157,5.946,4.783,4.936,6.910,90.0,90.0,90.0,5.267
MgSmO3,Mg,Sm,FALSE,not balanced,not balanced,0.89,0.96,orthorhombic,-2.805,0.232,0.201,13.550,0.726,5.593,5.790,8.368,90.0,90.0,90.0,-3.053
MgSnO3,Mg,Sn,FALSE,2,4,0.89,0.69,cubic,-1.725,0.625,-,12.762,1.143,3.996,3.996,3.996,90.0,90.0,90.0,2.673
MgSrO3,Mg,Sr,FALSE,not balanced,not balanced,0.89,1.18,cubic,-0.864,1.610,-,16.705,0.000,4.371,4.371,4.371,90.0,90.0,90.0,-6.291
MgTaO3,Mg,Ta,FALSE,2,4,0.89,0.68,cubic,-2.490,0.505,0.000,12.580,0.000,3.977,3.977,3.977,90.0,90.0,90.0,4.980
MgTbO3,Mg,Tb,FALSE,2,4,0.89,0.76,cubic,-1.874,1.094,0.200,15.697,0.000,4.282,4.282,4.282,90.0,90.0,90.0,-2.742
MgTcO3,Mg,Tc,FALSE,element not in BV,element not in BV,0.89,0.60,cubic,-1.598,0.600,0.002,11.617,0.000,3.873,3.873,3.873,90.0,90.0,90.0,1.992
MgTeO3,Mg,Te,FALSE,2,4,0.89,0.97,cubic,-1.178,0.833,-,14.315,0.000,4.152,4.152,4.152,90.0,90.0,90.0,1.481
MgThO3,Mg,Th,FALSE,2,4,0.89,0.94,cubic,-2.537,1.184,-0.001,18.682,0.000,4.537,4.537,4.537,90.0,90.0,90.0,2.296
MgTiO3,Mg,Ti,FALSE,2,4,0.89,0.61,orthorhombic,-3.094,0.094,0.000,9.849,2.296,5.044,5.280,7.396,90.0,90.0,90.0,3.878
MgTlO3,Mg,Tl,FALSE,not balanced,not balanced,0.89,1.20,cubic,-0.655,1.001,-,14.323,0.000,4.153,4.153,4.153,90.0,90.0,90.0,-2.748
MgTmO3,Mg,Tm,FALSE,not balanced,not balanced,0.89,0.96,cubic,-2.147,1.006,0.200,14.775,0.000,4.196,4.196,4.196,90.0,90.0,90.0,-2.488
MgUO3,Mg,U,FALSE,2,4,0.89,0.89,orthorhombic,-3.256,0.214,0.400,13.324,2.986,5.635,5.645,8.377,90.0,90.0,90.0,3.749
MgVO3,Mg,V,FALSE,2,4,0.89,0.58,cubic,-2.236,0.501,0.201,10.566,0.000,3.752,3.752,3.752,90.0,90.0,90.0,2.490
MgWO3,Mg,W,FALSE,2,4,0.89,0.66,cubic,-1.951,0.604,0.001,12.082,0.000,3.924,3.924,3.924,90.0,90.0,90.0,3.564
MgYO3,Mg,Y,FALSE,not balanced,not balanced,0.89,0.90,cubic,-2.002,1.090,0.200,15.597,0.000,4.272,4.272,4.272,90.0,90.0,90.0,-2.831
MgYbO3,Mg,Yb,FALSE,not balanced,not balanced,0.89,0.95,cubic,-1.388,1.211,-,13.733,0.000,4.095,4.095,4.095,90.0,90.0,90.0,-4.027
MgZnO3,Mg,Zn,FALSE,not balanced,not balanced,0.89,0.74,cubic,-1.062,0.793,-,10.766,0.000,3.776,3.776,3.776,90.0,90.0,90.0,-2.748
MgZrO3,Mg,Zr,FALSE,2,4,0.89,0.72,cubic,-2.676,0.682,0.000,13.812,0.843,4.103,4.103,4.103,90.0,90.0,90.0,2.605
MnAcO3,Mn,Ac,FALSE,element not in BV,element not in BV,0.96,1.12,orthorhombic,-2.604,0.314,0.800,15.237,0.299,5.902,5.987,8.625,90.0,90.0,90.0,-3.019
MnAgO3,Mn,Ag,FALSE,not balanced,not balanced,0.96,0.95,orthorhombic,-0.968,0.195,0.751,11.336,0.000,4.904,5.237,8.829,90.0,90.0,90.0,-1.753
MnAlO3,Mn,Al,FALSE,3,3,0.65,0.54,orthorhombic,-2.509,0.132,0.800,8.943,0.000,4.793,5.080,7.347,90.0,90.0,90.0,-0.538
MnAsO3,Mn,As,FALSE,3,3,0.65,0.58,orthorhombic,-1.546,0.218,0.982,10.631,0.000,5.204,5.403,7.562,90.0,90.0,90.0,1.474
MnAuO3,Mn,Au,FALSE,element not in BV,element not in BV,0.96,0.93,cubic,-0.323,0.827,0.995,12.912,0.000,4.012,4.012,4.012,90.0,90.0,90.0,-1.445
MnBO3,Mn,B,FALSE,3,3,0.65,0.27,cubic,-1.274,1.047,0.800,7.598,0.000,3.362,3.362,3.362,90.0,90.0,90.0,-1.322
MnBaO3,Mn,Ba,FALSE,not balanced,not balanced,0.96,1.35,orthorhombic,-2.124,0.256,0.600,16.689,0.628,5.643,6.015,9.832,90.0,90.0,90.0,-6.269
MnBeO3,Mn,Be,FALSE,not balanced,not balanced,0.96,0.45,cubic,-1.468,0.769,0.600,8.302,0.000,3.462,3.462,3.462,90.0,90.0,90.0,-2.999
MnBiO3,Mn,Bi,FALSE,1,5,0.96,0.76,orthorhombic,-1.552,0.199,0.897,13.326,0.000,5.652,5.730,8.230,90.0,90.0,90.0,0.414
MnCaO3,Mn,Ca,FALSE,not balanced,not balanced,0.96,1.00,rhombohedral,-2.180,0.263,0.600,13.723,1.528,6.016,6.016,6.016,55.3,55.3,55.3,-
